Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
A1,PC12,,Available,In,,,,,,,
A2,PC11,,Available,In,,,,,,,
A3,PB25,,LCDC_LCDDAT14,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
A4,PB20,,LCDC_LCDDAT9,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
A5,PB18,,LCDC_LCDDAT7,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
A6,PB14,,LCDC_LCDDAT3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
A7,PB11,,LCDC_LCDDAT0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
A8,PB10,,Available,In,,,,,,,
A9,PB6,,Available,In,,,,,,,
A10,PB5,,Available,In,,,,,,,
A11,PC31,,Available,In,,,,,,,
B1,PC13,,ISC_D4,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
B2,PC9,,Available,In,,,,,,,
B3,PB23,,LCDC_LCDDAT12,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
B4,PB19,,LCDC_LCDDAT8,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
B5,PB16,,LCDC_LCDDAT5,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
B6,PB12,,LCDC_LCDDAT1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
B7,PB4,,Available,In,,,,,,,
B8,PB3,,Available,In,,,,,,,
B9,PC29,,Available,In,,,,,,,
B10,PC27,,Available,In,,,,,,,
C1,PC17,,ISC_D8,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C2,PB30,,LCDC_LCDDAT19,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C3,PB22,,LCDC_LCDDAT11,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C4,PB17,,LCDC_LCDDAT6,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C5,PB13,,LCDC_LCDDAT2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C6,PB9,,Available,In,,,,,,,
C7,PB2,,Available,In,,,,,,,
C8,PB1,LED_GREEN,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C9,PD1,BSP_MAXTOUCH_CHG,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
D1,PC19,,ISC_D10,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
D2,PB28,,LCDC_LCDDAT17,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
D3,PB21,,LCDC_LCDDAT10,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
D5,PB7,,Available,In,,,,,,,
D8,PD2,,UART1_URXD1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
E1,PC21,,ISC_PCK,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
E2,PB24,,LCDC_LCDDAT13,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
E4,PB15,,LCDC_LCDDAT4,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
E5,PB8,,Available,In,,,,,,,
E6,PC30,,Available,In,,,,,,,
E7,PD0,,Available,In,,,,,,,
F1,PC22,,ISC_VSYNC,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
F4,PB27,,LCDC_LCDDAT16,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
F5,PB0,,Available,In,,,,,,,
F6,PC28,,Available,In,,,,,,,
F7,PC26,,Available,In,,,,,,,
G1,PC24,,ISC_MCK,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G2,PC15,,ISC_D6,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G3,PB26,,LCDC_LCDDAT15,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G4,PC10,,Available,In,,,,,,,
G5,PC14,,ISC_D5,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G6,PC16,,ISC_D7,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G7,PB31,,LCDC_LCDDAT20,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G8,PB29,,LCDC_LCDDAT18,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
G9,PC18,,ISC_D9,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
H1,PD5,,TWIHS1_TWCK1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
H4,PC20,,ISC_D11,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
H6,PD7,CAMERA_PWD,GPIO,Out,High,No,Disabled,No,No,Glitch Filter,0x0
H7,PD4,,TWIHS1_TWD1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
H8,PC25,,Available,In,,,,,,,
H9,PC23,,ISC_HSYNC,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
J1,PD3,,UART1_UTXD1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
J2,PD6,CAMERA_RESET,GPIO,Out,High,No,Disabled,No,No,Glitch Filter,0x0
J3,PD10,,Available,In,,,,,,,
J4,PD9,,Available,In,,,,,,,
J7,PD18,,Available,In,,,,,,,
K1,PD17,,Available,In,,,,,,,
K2,PD11,,Available,In,,,,,,,
K3,PD8,,Available,In,,,,,,,
K5,PD14,,Available,In,,,,,,,
K8,PD15,,Available,In,,,,,,,
K9,PD12,,Available,In,,,,,,,
L1,PD16,,Available,In,,,,,,,
L2,PD20,,Available,In,,,,,,,
L3,PD28,,Available,In,,,,,,,
L4,PD24,,Available,In,,,,,,,
L5,PD25,,Available,In,,,,,,,
L6,PD22,,Available,In,,,,,,,
L7,PD27,,Available,In,,,,,,,
L8,PD19,,Available,In,,,,,,,
L11,PC6,,LCDC_LCDHSYNC,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
M2,PD29,,Available,In,,,,,,,
M3,PIOBU1,,Available,In,,,,,,,
M5,PIOBU5,,Available,In,,,,,,,
M8,PD31,,Available,In,,,,,,,
M9,PD30,,Available,In,,,,,,,
M10,PC3,,LCDC_LCDPWM,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
M11,PA16,,Available,In,,,,,,,
M13,PC8,,LCDC_LCDDEN,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
M15,PC7,,LCDC_LCDPCK,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
M16,PC5,,LCDC_LCDVSYNC,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
M17,PA14,,Available,In,,,,,,,
N1,PD13,,Available,In,,,,,,,
N3,PIOBU7,,Available,In,,,,,,,
N4,PIOBU4,,Available,In,,,,,,,
N5,PIOBU6,,Available,In,,,,,,,
N7,PA1,,Available,In,,,,,,,
N9,PC2,,LCDC_LCDDAT23,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
N10,PC0,,LCDC_LCDDAT21,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
N11,PC1,,LCDC_LCDDAT22,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
N14,PA17,,Available,In,,,,,,,
N15,PC4,,LCDC_LCDDISP,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
N16,PA15,,Available,In,,,,,,,
N17,PA12,,Available,In,,,,,,,
P1,PD21,,Available,In,,,,,,,
P2,PIOBU2,,Available,In,,,,,,,
P3,PIOBU0,,Available,In,,,,,,,
P4,PIOBU3,,Available,In,,,,,,,
P8,PA9,,Available,In,,,,,,,
P9,PA20,,Available,In,,,,,,,
P10,PA21,,Available,In,,,,,,,
